company,headquarters,served_countries,number_of_locations,number_of_employees,number_of_locations_num,number_of_employees_num,countries_count,company_id
Xxl,Romania,,,,,,,209
Profi,Romania,,1600,,1600.0,,,210
Wegmans,United States,,109,52335,109.0,52335.0,,211
Esselunga,Italy,,160,23094,160.0,23094.0,,212
Standa,Italy,,126,,126.0,,,213
Supermercado La Franco Italiana,Venezuela,,,,,,,214
Happy Harry'S,United States,,76,,76.0,,,215
Great Food Hall,Hong Kong,,,,,,,216
Taste,Hong Kong,,,,,,,217
Gourmet,Hong Kong,,,,,,,218
Real Atlantic Superstore,Canada,,52,,52.0,,,219
Hannaford,United States,,183,,183.0,,,220
Price Chopper,United States,,131,24000,131.0,24000.0,,221
Price Chopper,United States,,55,10000,55.0,10000.0,,222
Price Chopper (New Zealand),New Zealand,,17,,17.0,,,223
